period,period_type,category,indicator,value,unit,source_file
2013-02,monthly,material_wholesale_price,"White tiles, 108mm x 108mm",233.0,100 pieces,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"32 mm diameter pipes, 4m long",56.0,no.,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,Acrylic paint,48.0,litre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,Aggregates,65.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,Bitumen,8770.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Clear sheet glass, 5mm thick",151.0,square metre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Colour tiles, 200mm x 200mm",398.0,100 pieces,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Concrete blocks, 100mm thick",70.0,square metre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,Emulsion paint,51.0,litre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,For industrial use (light),2096.0,200-litre drum,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,For road use,1049.0,100 litre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Glass tiles, 25mm x 25mm",50.0,square metre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Glazed tiles, 45mm x 45mm",122.0,square metre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"High tensile steel bars, 10mm to 40mm",5580.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Mild steel round bars, 6mm to 20mm",6095.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Non-slip tile, 200mm x 200mm",157.0,square metre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Plywood, formwork, 19mm thick",73.0,square metre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,Portland cement (ordinary),700.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,Sand,120.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Sawn hardwood, 25mm thick plank",3814.0,cubic metre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Sawn hardwood, 50 x 75mm column",5502.0,cubic metre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,Steel angles,11856.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,Steel flats,10131.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Steel plate, 4mm thick",5958.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,Steel plates,8814.0,tonne,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"Unglazed tiles, 18mm x 18mm",104.0,square metre,CLBM_Masterdata.xml
2013-03,monthly,material_wholesale_price,"White tiles, 108mm x 108mm",233.0,100 pieces,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"32 mm diameter pipes, 4m long",56.0,no.,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,Acrylic paint,48.0,litre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,Aggregates,62.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,Bitumen,8820.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Clear sheet glass, 5mm thick",151.0,square metre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Colour tiles, 200mm x 200mm",398.0,100 pieces,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Concrete blocks, 100mm thick",70.0,square metre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,Emulsion paint,51.0,litre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,For industrial use (light),2060.0,200-litre drum,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,For road use,1015.0,100 litre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Glass tiles, 25mm x 25mm",50.0,square metre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Glazed tiles, 45mm x 45mm",122.0,square metre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"High tensile steel bars, 10mm to 40mm",5343.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Mild steel round bars, 6mm to 20mm",6015.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Non-slip tile, 200mm x 200mm",158.0,square metre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Plywood, formwork, 19mm thick",74.0,square metre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,Portland cement (ordinary),700.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,Sand,120.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Sawn hardwood, 25mm thick plank",3814.0,cubic metre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Sawn hardwood, 50 x 75mm column",5502.0,cubic metre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,Steel angles,11823.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,Steel flats,10131.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Steel plate, 4mm thick",5941.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,Steel plates,8771.0,tonne,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"Unglazed tiles, 18mm x 18mm",104.0,square metre,CLBM_Masterdata.xml
2013-04,monthly,material_wholesale_price,"White tiles, 108mm x 108mm",233.0,100 pieces,CLBM_Masterdata.xml
2013-05,monthly,material_wholesale_price,"32 mm diameter pipes, 4m long",56.0,no.,CLBM_Masterdata.xml
2013-05,monthly,material_wholesale_price,Acrylic paint,49.0,litre,CLBM_Masterdata.xml
2013-05,monthly,material_wholesale_price,Aggregates,58.0,tonne,CLBM_Masterdata.xml
2013-05,monthly,material_wholesale_price,Bitumen,8820.0,tonne,CLBM_Masterdata.xml
